segment,line,ttm_revenue,q3fy26_yoy,share_of_total
Cloud & AI,Financial Services,3552.0,-0.003386004514672636,0.08483198395070574
Cloud & AI,Other,608.0,-0.3419354838709677,0.014520790045616298
Cloud & AI,Server,20966.0,0.35319999999999996,0.5007284277901173
Cloud & AI,Storage,4633.0,0.10247651579846284,0.11064937546273076
Networking,Campus & Branch,5275.0,0.3097184377838329,0.1259821833727401
Networking,Data Center Networking,1500.0,1.1222222222222222,0.035824317546750736
Networking,Routing,3154.0,2.699530516431925,0.07532659836163455
Networking,Security,1082.0,0.7562500000000001,0.02584127439038953
