,debt_issued,debt_repaid,preferred_issued,buybacks,dividends_common,dividends_preferred,acquisitions,shares_diluted,sbc
FY2020,7007.0,-5099.0,,-355.0,-618.0,,-866.0,1294.0,274.0
FY2021,3022.0,-5465.0,,-213.0,-625.0,,-505.0,1330.0,382.0
FY2022,3296.0,-3992.0,0.0,-512.0,-621.0,,0.0,1322.0,391.0
FY2023,4725.0,-4887.0,0.0,-421.0,-619.0,0.0,-761.0,1316.0,428.0
FY2024,11245.0,-5475.0,1462.0,-150.0,-676.0,0.0,-147.0,1337.0,430.0
FY2025,9188.0,-6837.0,0.0,-202.0,-684.0,-112.0,-12278.0,1324.0,643.0
TTM Q3 FY26,6401.0,-9860.0,0.0,-547.0,-739.0,-116.0,0.0,1449.0,795.0
