ticker,metric,tag,namespace,unit,start,end,val,accn,fy,fp,form,filed,frame
CRS,StockholdersEquity,StockholdersEquity,us-gaap,USD,,2026-06-30,2227600000,0000017843-26-000034,2026,FY,10-K,2026-08-12,CY2026Q2I
CRS,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,us-gaap,USD,2025-07-01,2026-06-30,147100000,0000017843-26-000034,2026,FY,10-K,2026-08-12,CY2026
CRS,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap,shares,2025-07-01,2026-06-30,50400000,0000017843-26-000034,2026,FY,10-K,2026-08-12,CY2026
ATI,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap,USD,2024-12-30,2025-12-28,4587400000,0001628280-26-010140,2025,FY,10-K,2026-02-20,CY2025
ATI,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap,USD,2025-12-29,2026-06-28,2412600000,0001628280-26-054233,2026,Q2,10-Q,2026-08-06,
ATI,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap,USD,2024-12-30,2025-06-29,2284800000,0001628280-26-054233,2026,Q2,10-Q,2026-08-06,
ATI,NetIncomeLoss,NetIncomeLoss,us-gaap,USD,2024-12-30,2025-12-28,404300000,0001628280-26-010140,2025,FY,10-K,2026-02-20,CY2025
ATI,NetIncomeLoss,NetIncomeLoss,us-gaap,USD,2025-12-29,2026-06-28,269200000,0001628280-26-054233,2026,Q2,10-Q,2026-08-06,
ATI,NetIncomeLoss,NetIncomeLoss,us-gaap,USD,2024-12-30,2025-06-29,197700000,0001628280-26-054233,2026,Q2,10-Q,2026-08-06,
ATI,OperatingIncomeLoss,OperatingIncomeLoss,us-gaap,USD,2024-12-30,2025-12-28,640900000,0001628280-26-010140,2025,FY,10-K,2026-02-20,CY2025
ATI,OperatingIncomeLoss,OperatingIncomeLoss,us-gaap,USD,2025-12-29,2026-06-28,383800000,0001628280-26-054233,2026,Q2,10-Q,2026-08-06,
ATI,OperatingIncomeLoss,OperatingIncomeLoss,us-gaap,USD,2024-12-30,2025-06-29,307900000,0001628280-26-054233,2026,Q2,10-Q,2026-08-06,
ATI,GrossProfit,GrossProfit,us-gaap,USD,2024-12-30,2025-12-28,1007000000,0001628280-26-010140,2025,FY,10-K,2026-02-20,CY2025
ATI,GrossProfit,GrossProfit,us-gaap,USD,2025-12-29,2026-06-28,572700000,0001628280-26-054233,2026,Q2,10-Q,2026-08-06,
ATI,GrossProfit,GrossProfit,us-gaap,USD,2024-12-30,2025-06-29,478300000,0001628280-26-054233,2026,Q2,10-Q,2026-08-06,
ATI,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,us-gaap,USD,2024-12-30,2025-12-28,614300000,0001628280-26-010140,2025,FY,10-K,2026-02-20,CY2025
ATI,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,us-gaap,USD,2025-12-29,2026-06-28,260000000,0001628280-26-054233,2026,Q2,10-Q,2026-08-06,
ATI,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,us-gaap,USD,2024-12-30,2025-06-29,69000000,0001628280-26-054233,2026,Q2,10-Q,2026-08-06,
ATI,PaymentsToAcquireProductiveAssets,PaymentsToAcquireProductiveAssets,us-gaap,USD,2024-12-30,2025-12-28,280600000,0001628280-26-010140,2025,FY,10-K,2026-02-20,CY2025
ATI,PaymentsToAcquireProductiveAssets,PaymentsToAcquireProductiveAssets,us-gaap,USD,2025-12-29,2026-06-28,123800000,0001628280-26-054233,2026,Q2,10-Q,2026-08-06,
ATI,PaymentsToAcquireProductiveAssets,PaymentsToAcquireProductiveAssets,us-gaap,USD,2024-12-30,2025-06-29,125400000,0001628280-26-054233,2026,Q2,10-Q,2026-08-06,
ATI,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2026-06-28,783000000,0001628280-26-054233,2026,Q2,10-Q,2026-08-06,CY2026Q2I
ATI,StockholdersEquity,StockholdersEquity,us-gaap,USD,,2026-06-28,1876700000,0001628280-26-054233,2026,Q2,10-Q,2026-08-06,CY2026Q2I
ATI,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,us-gaap,USD,2024-12-30,2025-12-28,168100000,0001628280-26-010140,2025,FY,10-K,2026-02-20,CY2025
ATI,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,us-gaap,USD,2025-12-29,2026-06-28,89000000,0001628280-26-054233,2026,Q2,10-Q,2026-08-06,
ATI,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,us-gaap,USD,2024-12-30,2025-06-29,82400000,0001628280-26-054233,2026,Q2,10-Q,2026-08-06,
ATI,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap,shares,2025-12-29,2026-06-28,138500000,0001628280-26-054233,2026,Q2,10-Q,2026-08-06,
