date,return,gap,volume_ratio,close
2026-08-05,0.3081460756872234,0.10343456452250366,2.4055696991738973,297.0799865722656
2026-07-28,-0.13282608977024102,-0.018650275531495897,1.9396250076980355,209.6999969482422
2025-10-29,-0.13272093093458448,-0.07170063871748222,2.829685746352413,116.12000274658205
2024-10-02,-0.1167365513828762,-0.024403572324013467,2.538157754296083,97.0
2024-08-06,0.1086935590630489,0.031234847820845513,2.122681883024251,114.6500015258789
2024-02-15,0.10489533323558198,0.02395302338895955,2.4852205547976354,137.4600067138672
2025-07-30,0.10373678691907284,0.042798202757919235,2.988603558964195,101.61000061035156
2026-07-30,0.09913388562716574,0.0545579488267236,1.0467966994988769,208.1100006103516
2024-11-06,0.09868225083319437,0.059614864954161684,1.7368616405755333,119.23999786376952
2026-06-11,0.09796922708732114,0.021245232948005288,1.5341508488145028,246.0
2026-07-29,-0.09709108406815325,0.012589410720402094,1.5887753201652042,189.33999633789065
2025-04-03,-0.09511182799456386,-0.053816534458116405,1.4701251672833189,75.16000366210938
2026-04-17,0.09246473150389312,0.02119482866775968,1.2058395448330614,181.9499969482422
2026-01-23,-0.0918806809702375,-0.06479365149040361,2.4878995987949573,135.11000061035156
2025-04-09,0.09106029088328582,-0.003465003391723176,1.55485484397086,78.72000122070312
2024-09-03,-0.08385035425714504,-0.014219247784046818,1.2352375299342981,106.30999755859376
2026-08-18,-0.08256026938499117,-0.031550842003698065,0.7923740245206287,264.0299987792969
2026-04-08,0.07443990366259956,0.04500857257498181,0.7101322045389356,162.08999633789062
2025-05-07,-0.07243220433249586,-0.027720978574149124,3.284415323928595,72.61000061035156
2026-08-19,-0.07124183452514787,0.019997723000068524,1.0907552699694831,245.22000122070312
