expiration,contracts,usable,call_volume,put_volume,call_oi,put_oi,put_call_volume,put_call_oi,median_spread,atm_strike,atm_iv,days
2026-09-18,98,0,12.0,2.0,965.0,120.0,0.16666666666666666,0.12435233160621761,1.86046511627907,250.0,1.2817,0
2026-10-16,42,0,8.0,0.0,32.0,33.0,0.0,1.03125,0.27407042600344744,250.0,0.5142,28
2026-11-20,34,0,0.0,3.0,0.0,0.0,,,0.17345399698340874,250.0,0.57315,63
2026-12-18,92,0,0.0,3.0,371.0,197.0,,0.5309973045822103,0.1338686214847894,250.0,0.56435,91
2027-03-19,86,0,0.0,4.0,86.0,36.0,,0.4186046511627907,0.10543629593653883,250.0,0.5640000000000001,182
