year,period_end,va_sales,revenue,growth,ebitda_margin,ebitda,da,ebit,capex,change_nwc,tax_rate,fcff
1,2027-09-18,1203.1230999999998,2187.496545454545,0.0,0.205,246.64023549999993,80.6092477,166.03098779999993,102.2654635,0.0,0.18,114.48919419599996
2,2028-09-18,1239.2167929999998,2253.121441818181,0.03,0.21,260.23552652999996,83.02752513099999,177.20800139899995,105.333427405,12.63279255000001,0.19,108.59978630918998
3,2029-09-18,1288.78546472,2343.2462994909088,0.04,0.215,277.0888749148,86.34862613624,190.74024877856,109.5467645012,17.349035102000038,0.2,112.04502555588797
4,2030-09-18,1340.3368833088,2436.976151470545,0.04,0.22,294.874114327936,89.8025711816896,205.07154314624643,113.928635081248,18.04299650608002,0.21,119.83745867989629
5,2031-09-18,1393.950358641152,2534.455197529367,0.04,0.22,306.6690789010534,93.39467402895718,213.27440487209623,118.48578048449792,18.764716366323192,0.21,124.63095702709208
