year,period_end,va_sales,revenue,growth,ebitda_margin,ebitda,da,ebit,capex,change_nwc,tax_rate,fcff
1,2027-09-18,1293.3573324999998,2351.5587863636356,0.075,0.235,303.93897313749994,80.18815461499999,223.75081852249997,100.88187193499998,27.070269749999987,0.17,137.94919230367495
2,2028-09-18,1448.5602124,2633.7458407272725,0.12,0.24,347.65445097599996,89.8107331688,257.84371780719994,112.98769656719999,46.56086397000006,0.18,141.69402123350392
3,2029-09-18,1593.41623364,2897.1204248,0.1,0.245,390.38697724179997,98.79180648568,291.59517075611996,124.28646622392,43.456806372,0.19,167.24062220221714
4,2030-09-18,1720.8895323312001,3128.890058784,0.08,0.25,430.22238308280004,106.69515100453441,323.5272320782656,134.2293835218336,38.24198960736005,0.2,193.04556353795329
5,2031-09-18,1824.1429042710722,3316.62346231104,0.06,0.25,456.03572606776805,113.09686006480648,342.93886600296156,142.28314653314362,30.976011581961618,0.2,214.1887947520705
