date,return,gap,volume_ratio,close
2007-02-12,0.33322693929818814,0.21173467029387294,8.678732596445947,41.810001373291016
2026-08-05,0.3081460756872234,0.10343456452250366,2.4055696991738973,297.0799865722656
2023-02-16,0.2412275145319811,0.03497694008329755,3.111047974673269,110.01000213623048
2008-11-24,0.2246753682024203,0.0168831321637819,1.1518051282571122,9.43000030517578
2022-11-02,-0.21513392740821802,-0.054714836951670565,6.452071342286648,67.41999816894531
2008-12-01,-0.20984491800365046,-0.042314315573963035,0.8025356061683496,9.149999618530272
2007-10-25,-0.20970644655968973,-0.10086924251526297,5.228396995289626,43.63999938964844
2014-10-23,0.20873479408714934,0.07668499133723983,3.844642492258845,35.150001525878906
2011-02-24,0.20429470139428085,0.10330822599746137,5.576482148706191,41.5
2007-06-20,-0.2018942534951601,-0.1316360451939631,7.863015826635647,40.43999862670898
2008-10-13,0.19925923553113178,0.04740743283872262,0.800067102402137,16.190000534057617
2020-03-19,0.1953680365469368,0.00448258983312666,1.8091885090091295,32.0
2005-04-28,-0.19467467719159215,-0.01479289974219189,3.278398954303782,13.609999656677246
2020-03-18,-0.1946450706120887,-0.06738873541988699,1.2028327386744513,26.770000457763672
2019-05-02,0.17512452244650412,0.05883361613803939,4.824955924153564,68.30999755859375
2008-11-26,0.17502557178601386,-0.027635664801747062,0.7093140374525829,11.479999542236328
2007-04-26,-0.17476509361633608,-0.027372892702652418,7.888615836628097,50.95000076293945
2019-02-14,0.17458305841476474,0.06839775705137185,2.940496377370125,55.63999938964844
2009-03-10,0.17075479080448175,0.034905648324870864,1.0184203291308276,12.40999984741211
2008-09-18,0.1683679924395698,0.019480523501747005,1.864204785275058,25.190000534057617
2021-11-02,0.16810787528354165,0.054054054054053946,3.848933863389953,86.44000244140625
1987-10-20,-0.16666615652799477,-0.052631578947368474,2.457633617053907,23.75
2006-07-11,0.16535843597395505,0.14573117482853748,3.7489964842344214,23.75
2008-02-08,-0.16281412945916962,-0.10452263984459553,4.4585951079855946,24.989999771118164
2020-03-16,-0.15865889044323866,-0.19271385793475648,1.0676479624612463,31.8700008392334
2001-01-16,0.15522408833386203,0.0,3.730372572702778,24.1875
2011-08-09,0.1548626106674551,0.025321120515875872,2.1700852173445524,31.46999931335449
2000-08-14,0.15436286566910273,0.0,10.97997138769671,21.5
2010-07-22,0.15346000449460262,0.024573709026799673,2.0816547166155006,23.0
2010-04-05,0.15147550954295652,0.08234262063497644,5.886445521182756,26.149999618530277
