ticker,period_end,revenue,net_income,operating_income,gross_profit,cfo,capex,cash,debt,equity,da,ebitda_operating,adjusted_ebitda,shares,price,market_cap_diluted,ev,fcf,net_debt,pe,ps,pb,ev_revenue,ev_ebitda_operating,ev_adjusted_ebitda,fcf_yield,operating_margin,gross_margin
ENTG,2026-06-27,3326.1,305.5,533.6999999999999,1512.7,780.6999999999999,205.5,353.6,3456.0,4156.2,357.30000000000007,891.0,925.6,153.4,142.25,21821.15,24923.550000000003,575.1999999999999,3102.4,71.4276595744681,6.560581461772046,5.250264664838074,7.4933255163705255,27.972558922558925,26.92691227312014,0.026359747309376447,0.16045819428159103,0.4547969092931662
CRS,2026-06-30,3124.2,529.8,702.0,955.5,605.0,242.7,393.3,690.7,2227.6,147.1,849.1,,50.4,408.1199951171875,20569.24775390625,20866.64775390625,362.3,297.40000000000003,38.82455219687854,6.583844745504849,9.233815655371814,6.679037114751377,24.575017964793606,,0.01761367281558445,0.22469752256577685,0.3058382946034185
ATI,2026-06-28,4715.199999999999,475.8,716.8,1101.4,805.3,279.0,783.0,2192.0,1876.7,174.7,891.5,,138.5,191.6300048828125,26540.75567626953,27949.75567626953,526.3,1409.0,55.781327608805235,5.628765625269244,14.142247389710413,5.927586460016444,31.351380455714562,,0.019829879993604412,0.15201900237529695,0.23358500169664073
