,MTRN,SPY,IWM,XLB,ENTG,CRS,ATI,VNP.TO
MTRN,1.0,0.4662232467560911,0.5946250179157456,0.502918036037161,0.509406747429895,0.38162811290056914,0.3822304528768589,0.3386136527317291
SPY,0.4662232467560911,1.0,0.8085522280796459,0.6923581300631549,0.6667956216964027,0.4926726258695123,0.5217036949779431,0.3703257316793908
IWM,0.5946250179157456,0.8085522280796459,1.0,0.7386691416662976,0.6437837367269784,0.5434372809744262,0.5569730065897955,0.36652889422256146
XLB,0.502918036037161,0.6923581300631549,0.7386691416662976,1.0,0.5291541270507747,0.42746490514389723,0.4581444049863326,0.2845978197059924
ENTG,0.509406747429895,0.6667956216964027,0.6437837367269784,0.5291541270507747,1.0,0.3809062415178533,0.44460682182394295,0.34604032073019086
CRS,0.38162811290056914,0.4926726258695123,0.5434372809744262,0.42746490514389723,0.3809062415178533,1.0,0.6968895735581325,0.2250102138484648
ATI,0.3822304528768589,0.5217036949779431,0.5569730065897955,0.4581444049863326,0.44460682182394295,0.6968895735581325,1.0,0.25528039732977487
VNP.TO,0.3386136527317291,0.3703257316793908,0.36652889422256146,0.2845978197059924,0.34604032073019086,0.2250102138484648,0.25528039732977487,1.0
