period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,6.55694,6.40725,7.37,2.59,23,1.5316,USD
+1q,6.87486,6.57,7.5,3.37,5,1.04,USD
0y,25.88376,25.5,28.6,10.3,24,1.513,USD
+1y,24.66365,9.67,30.19,24.46,8,0.0083,USD
