period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,2.59959,2.15936,2.13899,2.13858,2.13782,USD
+1q,2.36705,2.26003,2.20356,2.20338,2.1996,USD
0y,10.0049,10.01114,8.97292,8.90323,8.89754,USD
+1y,11.04568,10.9062,9.96054,9.84372,9.85982,USD
