period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,1.03705,0.8,1.08,0.35,17,1.963,USD
+1q,1.04263,0.85,1.22,0.69,17,0.5111,USD
0y,4.3382,3.5,5.13,3.63,18,0.19510001,USD
+1y,5.32592,3.53,7.264,4.3382,17,0.22770001,USD
