period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,1.26838,1.26942,1.06044,1.05613,1.05555,USD
+1q,1.02547,0.93561,0.92235,0.91974,0.91974,USD
0y,3.82227,3.82082,3.43248,3.42307,3.42257,USD
+1y,4.59731,4.59581,4.07033,4.0384,4.03787,USD
