period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,1.03705,1.03705,0.76297,0.66131,0.67783,USD
+1q,1.04263,1.04263,0.8456,0.77772,0.80042,USD
0y,4.3382,4.3382,3.34825,3.19179,3.27066,USD
+1y,5.32592,5.32592,3.85795,3.70913,3.70913,USD
