period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,0.77122,0.64575,0.64159,0.64154,0.64154,USD
+1q,0.83854,0.73903,0.74006,0.74026,0.74026,USD
0y,2.78033,2.78033,2.4352,2.43529,2.43529,USD
+1y,3.54356,3.06885,3.0057,3.00826,3.00826,USD
