period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,2100700850,2065500000,2155785000,15,1705000000,0.2321,USD
+1q,1963148270,1823000000,2086200000,16,1713000000,0.146,USD
0y,8179646560,8086300000,8631536930,16,6925000000,0.18120001,USD
+1y,8616551210,7879000000,9527030800,18,8179646560,0.053400002,USD
