GradeDate,Firm,ToGrade,FromGrade,Action,priceTargetAction,currentPriceTarget,priorPriceTarget
2014-11-14 14:00:00,Stifel,Buy,,main,Raises,40.0,32.0
2014-09-29 09:36:51,Roth Capital,Buy,,init,Announces,35.0,0.0
2014-08-07 03:07:00,Stifel,Buy,,main,Raises,32.0,30.0
2014-06-27 00:28:16,Stifel,Buy,,main,Raises,30.0,23.0
2014-05-16 10:09:31,Stifel,Buy,Hold,up,Announces,23.0,0.0
2013-11-22 11:58:00,DA Davidson,Buy,,init,Announces,18.5,0.0
2013-10-16 12:22:40,Stifel,Hold,Buy,down,Removes,0.0,14.0
2013-04-24 12:35:13,Stifel,Buy,,main,Lowers,13.0,15.0
2013-02-28 11:24:52,Wunderlich Securities,Buy,,main,Raises,14.0,13.0
2012-10-10 10:16:00,Wunderlich Securities,Buy,,main,Lowers,13.0,17.0
2012-09-25 09:57:00,Wunderlich Securities,Buy,,init,Announces,17.0,0.0
