period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,14971092730,14500000000,15409000000,16,5017790000,1.9836,USD
+1q,16289780260,14226000000,17570800000,16,12682491000,0.28440002,USD
0y,67129653040,63454328000,70492300000,15,39063072000,0.71849996,USD
+1y,78762368070,70839162000,89360301270,15,67129653040,0.1733,USD
