period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,49184510840,48883706760,49723650680,20,27005000000,0.82129997,USD
+1q,53564093500,52036991160,56726333990,20,33379000000,0.6047,USD
0y,193574376060,192006651490,197262984670,20,113538000000,0.70489997,USD
+1y,222165092160,137501000000,293021320420,27,193574376060,0.14770001,USD
