period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,1.07656,1.07656,1.07679,0.91297,0.9131,USD
+1q,1.148,1.148,1.14825,0.96653,0.96669,USD
0y,4.11262,4.11262,4.11295,3.62724,3.62941,USD
+1y,5.16028,5.16028,5.15956,4.45434,4.44965,USD
