period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,1.32184,1.25454,1.34,1.0,23,0.3218,USD
+1q,1.23112,1.19,1.36,1.04,22,0.1838,USD
0y,5.14263,5.05,5.61,4.33,26,0.1877,USD
+1y,5.60226,5.26,6.81,5.14263,26,0.08939999,USD
