period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,0.77122,0.66,0.842,0.58,18,0.32970002,USD
+1q,0.83854,0.71,0.99,0.69,19,0.21530001,USD
0y,2.78033,2.54,3.0,1.9858,19,0.4001,USD
+1y,3.54356,2.84,4.32,2.78033,19,0.2745,USD
