period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,1330479460,1325000000,1339200000,16,964453000,0.3795,USD
+1q,1482365330,1460800000,1510516040,17,1058903000,0.39990002,USD
0y,5052852090,5024700000,5080003960,18,3662843000,0.3795,USD
+1y,6137446840,5241000000,6837620100,19,5052852090,0.2147,USD
