period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,1.07656,1.059,1.12,0.75,25,0.4354,USD
+1q,1.148,1.09,1.22,0.82,24,0.4,USD
0y,4.11262,4.05,4.22,2.98,27,0.38009998,USD
+1y,5.16028,4.4,5.73,4.11262,28,0.2547,USD
