period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,3326500420,3300000000,3482751000,22,2308300000,0.4411,USD
+1q,3586022000,3535600000,3775165000,21,2487800000,0.4414,USD
0y,12665968690,12598100000,13002616000,25,9005700000,0.4064,USD
+1y,16156118220,14122340000,17212981000,27,12665968690,0.2756,USD
