GradeDate,Firm,ToGrade,FromGrade,Action,priceTargetAction,currentPriceTarget,priorPriceTarget
2025-04-14 20:08:36,Citigroup,Buy,Buy,main,Lowers,68.0,73.0
2025-04-08 14:12:27,Piper Sandler,Neutral,Neutral,main,Lowers,60.0,72.0
2025-04-08 13:35:45,Morgan Stanley,Overweight,Overweight,main,Lowers,65.0,68.0
2025-02-27 19:24:44,Citigroup,Buy,Buy,main,Raises,73.0,71.0
2025-02-14 14:09:36,Deutsche Bank,Hold,Hold,main,Raises,65.0,57.0
2025-02-13 18:08:53,Citigroup,Buy,Buy,main,Raises,71.0,68.0
2025-02-13 17:50:38,Rosenblatt,Buy,Neutral,up,Raises,80.0,66.0
2025-02-13 17:03:45,Goldman Sachs,Neutral,Neutral,main,Raises,63.0,56.0
2025-02-13 15:56:52,JP Morgan,Overweight,Overweight,main,Raises,73.0,69.0
2025-02-13 15:29:16,Piper Sandler,Neutral,Neutral,main,Raises,72.0,57.0
2025-02-13 15:27:03,Wells Fargo,Equal-Weight,Equal-Weight,main,Raises,72.0,60.0
2025-02-13 14:27:16,UBS,Neutral,Neutral,main,Raises,70.0,62.0
2025-02-13 12:43:35,Barclays,Equal-Weight,Equal-Weight,main,Raises,61.0,56.0
2025-02-10 10:19:25,JP Morgan,Overweight,Overweight,main,Raises,69.0,66.0
2025-01-17 19:04:03,Citigroup,Buy,Buy,main,Raises,68.0,64.0
2025-01-06 10:26:01,Melius Research,Buy,Hold,up,Raises,73.0,66.0
2024-12-17 14:33:25,Morgan Stanley,Overweight,Overweight,main,Raises,68.0,62.0
2024-11-14 18:17:45,Citigroup,Buy,Buy,main,Raises,64.0,62.0
2024-11-14 16:54:19,B of A Securities,Buy,Buy,main,Raises,72.0,60.0
2024-11-14 14:35:04,UBS,Neutral,Neutral,main,Raises,62.0,55.0
2024-11-14 14:24:51,Wells Fargo,Equal-Weight,Equal-Weight,main,Raises,60.0,57.0
2024-11-14 13:54:32,Barclays,Equal-Weight,Equal-Weight,main,Raises,56.0,49.0
2024-11-14 12:52:50,Morgan Stanley,Overweight,Overweight,main,Raises,62.0,58.0
2024-11-14 12:18:49,Piper Sandler,Neutral,Neutral,main,Raises,57.0,52.0
2024-11-11 12:24:16,JP Morgan,Overweight,Neutral,up,Raises,66.0,55.0
2024-10-16 12:40:25,Citigroup,Buy,Neutral,up,Raises,62.0,52.0
2024-10-14 18:44:43,Tigress Financial,Buy,Buy,main,Raises,78.0,76.0
2024-09-20 12:56:34,Evercore ISI Group,Outperform,Outperform,main,Raises,60.0,55.0
2024-08-16 11:54:52,HSBC,Buy,Hold,up,Raises,58.0,46.0
2024-08-15 20:13:33,New Street Research,Buy,Neutral,up,Announces,57.0,0.0
2024-08-15 17:58:02,Piper Sandler,Neutral,Neutral,reit,Maintains,52.0,52.0
2024-08-15 15:51:28,Jefferies,Buy,Buy,main,Lowers,53.0,56.0
2024-08-15 15:48:31,Deutsche Bank,Hold,Hold,main,Raises,53.0,52.0
2024-08-15 14:00:11,Barclays,Equal-Weight,Equal-Weight,main,Lowers,49.0,50.0
2024-08-15 11:23:58,Rosenblatt,Neutral,Neutral,main,Raises,58.0,56.0
2024-08-15 10:45:33,Needham,Hold,,reit,,0.0,0.0
2024-06-10 10:27:07,Needham,Hold,,reit,,0.0,0.0
2024-06-05 14:09:15,Piper Sandler,Neutral,Neutral,reit,Maintains,52.0,52.0
2024-05-17 17:16:44,Barclays,Equal-Weight,Equal-Weight,main,Raises,50.0,48.0
2024-05-16 14:29:23,Wells Fargo,Equal-Weight,Equal-Weight,main,Raises,57.0,52.0
2024-05-16 13:49:26,Piper Sandler,Neutral,Neutral,reit,Raises,52.0,51.0
2024-05-16 13:38:51,Oppenheimer,Outperform,Outperform,main,Raises,58.0,54.0
2024-05-16 11:11:15,Needham,Hold,,reit,,0.0,0.0
2024-05-13 09:13:42,Exane BNP Paribas,Neutral,Underperform,up,Announces,50.0,0.0
2024-04-15 10:09:41,B of A Securities,Buy,Neutral,up,Raises,60.0,55.0
2024-04-09 09:49:22,Deutsche Bank,Hold,Hold,main,Raises,52.0,51.0
2024-04-09 09:42:12,Needham,Hold,,reit,,0.0,0.0
2024-03-20 11:58:40,Piper Sandler,Neutral,Neutral,reit,Raises,51.0,47.0
2024-02-15 13:36:56,Barclays,Equal-Weight,Equal-Weight,main,Raises,48.0,46.0
2024-02-15 13:09:30,Wells Fargo,Equal-Weight,,init,Announces,52.0,0.0
2024-02-12 15:43:18,UBS,Neutral,Neutral,main,Raises,55.0,54.0
2024-01-08 15:44:18,Melius Research,Hold,Buy,down,Announces,55.0,0.0
2023-11-17 18:25:21,DZ Bank,Hold,Buy,down,Announces,50.0,0.0
2023-11-16 18:41:36,Oppenheimer,Outperform,Outperform,main,Lowers,54.0,58.0
2023-11-16 18:15:42,UBS,Neutral,Neutral,main,Lowers,54.0,55.0
2023-11-16 15:48:44,Piper Sandler,Neutral,Neutral,main,Lowers,50.0,57.0
2023-11-16 12:23:47,Rosenblatt,Neutral,Neutral,main,Lowers,51.0,59.0
2023-10-30 09:29:12,Raymond James,Market Perform,Outperform,down,,0.0,0.0
2023-09-22 15:33:13,Tigress Financial,Buy,Buy,main,Raises,76.0,73.0
2023-09-13 15:31:17,B of A Securities,Neutral,Neutral,main,Raises,60.0,56.0
2023-08-21 15:19:32,Deutsche Bank,Hold,Hold,main,Raises,58.0,54.0
2023-08-17 16:06:49,Evercore ISI Group,Outperform,Outperform,main,Raises,63.0,60.0
2023-08-17 15:58:13,Piper Sandler,Neutral,Neutral,main,Raises,53.0,51.0
2023-08-17 15:44:32,Jefferies,Buy,Buy,main,Raises,59.5,54.0
2023-08-17 13:49:29,Citigroup,Neutral,Neutral,main,Raises,55.0,54.0
2023-08-17 12:41:04,Morgan Stanley,Equal-Weight,Equal-Weight,main,Raises,56.0,55.0
2023-08-17 12:39:52,UBS,Neutral,Neutral,main,Raises,55.0,51.0
2023-08-17 11:59:55,Oppenheimer,Outperform,Outperform,reit,Maintains,58.0,0.0
2023-08-17 11:21:44,Rosenblatt,Neutral,Neutral,main,Raises,59.0,52.0
2023-08-17 11:10:12,Raymond James,Outperform,Outperform,main,Raises,65.0,64.0
2023-08-17 10:56:04,Barclays,Equal-Weight,Equal-Weight,main,Raises,53.0,51.0
2023-07-20 10:02:12,Exane BNP Paribas,Underperform,,init,Announces,45.0,0.0
2023-07-19 10:17:26,JP Morgan,Overweight,Neutral,up,Raises,62.0,55.0
2023-07-12 10:29:47,B of A Securities,Neutral,Buy,down,Announces,56.0,0.0
2023-06-30 09:14:50,Citigroup,Neutral,,init,Announces,54.0,0.0
2023-06-09 15:21:44,JMP Securities,Market Perform,,main,,0.0,0.0
2023-05-22 14:03:13,Deutsche Bank,Hold,Hold,main,Lowers,54.0,55.0
2023-05-18 13:27:58,Piper Sandler,Neutral,Neutral,main,Lowers,51.0,53.0
2023-05-18 12:07:20,Oppenheimer,Outperform,Outperform,reit,Maintains,58.0,0.0
2023-05-18 11:58:36,Credit Suisse,Outperform,Outperform,main,Lowers,65.0,69.0
2023-05-18 11:42:01,Raymond James,Outperform,Outperform,main,Raises,64.0,63.0
2023-05-18 09:45:33,Barclays,Equal-Weight,Equal-Weight,main,Lowers,51.0,52.0
2023-03-17 08:57:07,Tigress Financial,Buy,,reit,Maintains,73.0,0.0
2023-03-07 10:21:49,Goldman Sachs,Neutral,,init,,0.0,0.0
2023-02-22 11:53:48,Deutsche Bank,Hold,,main,Raises,55.0,52.0
2023-02-17 11:40:25,DZ Bank,Buy,Hold,up,Announces,100.0,0.0
2023-02-16 14:36:45,Loop Capital,Buy,,main,Raises,66.0,65.0
2023-02-16 14:01:49,Piper Sandler,Neutral,,main,Raises,53.0,49.0
2023-02-16 13:53:29,UBS,Neutral,,main,Raises,51.0,48.0
2023-02-16 13:43:59,Cowen & Co.,Outperform,,main,Raises,64.0,61.0
2023-02-16 13:24:45,JP Morgan,Neutral,,main,Raises,55.0,54.0
2023-02-16 13:07:27,Credit Suisse,Outperform,,main,Raises,69.0,67.0
2023-02-16 13:00:55,Rosenblatt,Neutral,,main,Raises,53.0,51.0
2023-02-16 12:44:27,Wells Fargo,Equal-Weight,,main,Raises,57.0,52.0
2023-02-16 12:24:22,Raymond James,Outperform,,main,Raises,63.0,59.0
2023-02-16 11:57:03,Morgan Stanley,Equal-Weight,,main,Raises,55.0,52.0
2023-02-15 19:42:42,Barclays,Equal-Weight,Equal-Weight,main,Announces,52.0,0.0
2023-01-17 11:41:34,Piper Sandler,Neutral,,main,Raises,49.0,47.0
2022-12-13 13:01:20,Morgan Stanley,Equal-Weight,,main,Raises,52.0,48.0
2022-11-18 14:19:52,Deutsche Bank,Hold,,main,Lowers,52.0,54.0
2022-11-17 14:28:41,Cowen & Co.,Outperform,,main,Raises,61.0,60.0
2022-11-17 13:15:16,Credit Suisse,Outperform,,main,Raises,67.0,65.0
2022-11-17 11:58:20,Rosenblatt,Neutral,,main,Lowers,51.0,53.0
2022-09-22 11:21:30,Barclays,Equal-Weight,Overweight,down,Lowers,46.0,56.0
2022-09-21 11:45:59,Barclays,Equal-Weight,Overweight,down,,0.0,0.0
2022-08-19 12:26:55,Deutsche Bank,Hold,,main,Raises,54.0,51.0
2022-08-18 15:10:10,Cowen & Co.,Outperform,,main,Raises,60.0,58.0
2022-08-18 12:58:14,Morgan Stanley,Equal-Weight,,main,Raises,48.0,46.0
2022-08-18 12:08:26,Citigroup,Sell,,main,Raises,44.0,40.0
2022-08-18 11:59:28,Piper Sandler,Neutral,,main,Raises,47.0,43.0
2022-08-18 11:48:19,Goldman Sachs,Neutral,,main,Raises,50.0,45.0
