period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,18117043420,18027800000,18226000000,21,14883000000,0.2173,USD
+1q,17912439890,17634363350,18550000000,20,15349000000,0.16700001,USD
0y,73164430740,72686337000,76656000000,23,63325000000,0.1554,USD
+1y,77798946250,72068000000,87642000000,25,73164430740,0.0633,USD
