period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,1.26838,1.24,1.35,0.62,18,1.0458,USD
+1q,1.02547,0.84,1.25,0.65,13,0.5776,USD
0y,3.82227,3.79,3.87,1.94,19,0.97019994,USD
+1y,4.59731,4.39884,5.39,3.82227,19,0.2028,USD
