period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,2.59959,2.47,2.72,2.05,17,0.2681,USD
+1q,2.36705,2.17,2.82,2.12,17,0.1165,USD
0y,10.0049,9.84,11.0,8.13,18,0.2306,USD
+1y,11.04568,9.57,12.72,10.0049,19,0.103999995,USD
