period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,6.55694,6.55726,4.3106,4.22541,4.21329,USD
+1q,6.87486,4.0475,3.925,3.8475,3.8475,USD
0y,25.88376,25.88306,18.53612,18.38601,18.35084,USD
+1y,24.66365,20.15625,19.4275,18.3525,18.3525,USD
