period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,14273072670,12722000000,14717000000,18,9679000000,0.4746,USD
+1q,12727209010,11023000000,14655600000,12,9301000000,0.3684,USD
0y,46376610050,44506000000,46909000000,20,34296000000,0.3522,USD
+1y,54375522940,53422100000,58902000000,18,46376610050,0.1725,USD
