period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,1.32184,1.32228,1.14745,1.14693,1.15693,USD
+1q,1.23112,1.23203,1.17546,1.17435,1.17465,USD
0y,5.14263,5.14455,4.78315,4.76427,4.75987,USD
+1y,5.60226,5.60226,5.28038,5.24655,5.23377,USD
