,coef,std_err_hac,t,p_value,ci_low,ci_high
const,0.859801866392325,0.9720973085400225,0.8844812744967351,0.3842453494970458,-1.1347770562584427,2.854380789043093
micron_gm_change_lag0,-0.006513076644609261,0.042793028886330235,-0.1521994776745002,0.8801612396341421,-0.0943171192062039,0.08129096591698538
micron_gm_change_lag1,-0.0282845543518557,0.03253920029187294,-0.8692455284133124,0.3923747081698009,-0.09504947849258474,0.03848036978887334
micron_gm_change_lag2,0.013112258364659044,0.02511383606334602,0.5221129233935138,0.605849242868701,-0.03841707685599738,0.06464159358531547
