,coef,std_err_hac,t,p_value,ci_low,ci_high
const,-0.041893633217498207,0.030422194832473843,-1.3770746472499513,0.18069570132066962,-0.10454931633435013,0.020762049899353714
capex_yoy_lag0,0.08383580244127191,0.06529112831663485,1.284030535277367,0.21090425020517356,-0.050633793479599856,0.2183053983621437
capex_yoy_lag1,0.12570317676470447,0.06955339570760177,1.80729029094644,0.0827667854605338,-0.017544723170006882,0.2689510766994158
capex_yoy_lag2,-0.026469242923852308,0.03738829867600992,-0.7079552657162282,0.4855216699744317,-0.10347188546894968,0.050533399621245076
