quarter,actual,arima,random_walk,seasonal_naive
2023Q2,7001.999999999995,6979.352717584006,6972.999999999995,6950.999999999997
2023Q3,7350.999999999995,7188.721388372651,7001.999999999995,7870.999999999994
2023Q4,6754.999999999996,7288.72706993437,7350.999999999995,7809.000000000002
2024Q1,7204.000000000001,6814.331107889596,6754.999999999996,6972.999999999995
2024Q2,7709.999999999999,7398.184677051378,7204.000000000001,7001.999999999995
2024Q3,8458.000000000005,7360.645997958367,7709.999999999999,7350.999999999995
2024Q4,7854.000000000006,7872.81529545054,8458.000000000005,6754.999999999996
2025Q1,7626.999999999999,7235.230854923676,7854.000000000006,7204.000000000001
