baseline,note,fy26_counterfactual,fy26_excess,juniper_share_of_excess,quarters_above_95,quarters_with_actuals
"SARIMA(0,0,1)(0,0,0)[4]",AICc -80.8,29055.666769741998,17444.333230258002,0.32632796538292297,5.0,5
"SARIMA(1,0,0)(0,0,0)[4]",AICc -79.2,29216.99748816205,17283.00251183795,0.32937412157364976,5.0,5
"SARIMA(1,0,1)(1,0,0)[4]",AICc -79.0,29667.4070937419,16832.5929062581,0.33818757467694677,5.0,5
"SARIMA(2,0,0)(0,0,0)[4]",AICc -78.0,28977.660207783174,17522.339792216826,0.3248752071923846,5.0,5
"SARIMA(2,1,0)(0,0,0)[4]",AICc -77.7,31537.671432083724,14962.328567916276,0.3804604172841381,5.0,5
Random walk with drift,last level plus mean quarterly change,30478.93181613827,16021.068183861731,0.3553179916072028,,5
Linear trend in log revenue,OLS trend on the fit sample,29552.98222657347,16947.01777342653,0.3359041600474359,,5
Seasonal naive,same quarter a year earlier,31649.000000000007,14850.999999999993,0.3833124887544145,,5
