,coef,std_err_hac,t,p_value,ci_low,ci_high
const,-0.23492262311755152,0.730397888688027,-0.32163650354949674,0.7502996638063358,-1.7362769852383897,1.2664317390032869
micron_gm_change_lag0,-0.045946747096738766,0.014877895186420244,-3.0882558669102957,0.004745373744278954,-0.07652869863746864,-0.015364795556008892
micron_gm_change_lag1,0.009125743544119741,0.025307559825194625,0.3605935778539471,0.721316460702976,-0.042894690696783436,0.06114617778502292
micron_gm_change_lag2,-0.023128386682192276,0.030961817046062004,-0.7469970721609812,0.4617676930174811,-0.08677131309424738,0.040514539729862825
juniper_dummy,6.813126155328705,2.0223086955088094,3.3689842556971916,0.002362305610819574,2.656211097686885,10.970041212970525
