task,horizon,ticker,model,excluded_fallbacks,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,volatility_rmse,volatility_mae,volatility_correlation
excess_return,1,ATI,boost_full,0,44,0.1287656437270656,0.09235788663080337,-0.04073334735761236,-0.02717449658190699,0.060653864342178,0,2023-01-31,2026-08-31,0.5454545454545454,0.5681818181818182,0.5681818181818182,0.0,,,,
excess_return,1,ATI,core_ridge,0,44,0.12990808704958828,0.09772454727553233,-0.059282601620023634,-0.013626587746233841,-0.03329021454748557,0,2023-01-31,2026-08-31,0.5227272727272727,0.5681818181818182,0.5681818181818182,0.0,,,,
excess_return,1,ATI,historical_mean,0,44,0.1262206080674562,0.09422531956602845,0.0,-0.018368351291573232,-0.16131255215990464,0,2023-01-31,2026-08-31,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.0,,,,
excess_return,1,ATI,ridge_full,0,44,0.12963733879634518,0.09986358722933973,-0.054871790033744094,-0.03098243341807182,0.059599221330128266,0,2023-01-31,2026-08-31,0.4318181818181818,0.5681818181818182,0.5681818181818182,0.0,,,,
excess_return,1,ATI,zero,0,44,0.1294520997238942,0.09539642372227512,-0.05185932668741655,-0.03541906386415048,,0,2023-01-31,2026-08-31,0.0,0.5681818181818182,0.5681818181818182,44.0,,,,
excess_return,1,CRS,boost_full,0,44,0.14021700059850103,0.11430918106759985,-0.05075202233515719,-0.04135723677192348,-0.05161835095390775,0,2023-01-31,2026-08-31,0.3409090909090909,0.5681818181818182,0.5681818181818182,0.0,,,,
excess_return,1,CRS,core_ridge,0,44,0.14324597462373406,0.11760573048761062,-0.0966391400208011,-0.011331755268633694,-0.16295304030347882,0,2023-01-31,2026-08-31,0.5227272727272727,0.5681818181818182,0.5681818181818182,0.0,,,,
excess_return,1,CRS,historical_mean,0,44,0.1367888050058936,0.10927610057750368,0.0,-0.03765214862282731,-0.14916137654458825,0,2023-01-31,2026-08-31,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.0,,,,
excess_return,1,CRS,ridge_full,0,44,0.14240681967730004,0.11680229901413978,-0.08382824346099271,-0.018224227435465066,-0.05432758095431514,0,2023-01-31,2026-08-31,0.4772727272727273,0.5681818181818182,0.5681818181818182,0.0,,,,
excess_return,1,CRS,zero,0,44,0.14047451817162598,0.10960798321963726,-0.054615114327426495,-0.05166564594542827,,0,2023-01-31,2026-08-31,0.0,0.5681818181818182,0.5681818181818182,44.0,,,,
