task,horizon,ticker,expanded,reduced,n,metric,mean_loss_reduction,lo,hi,block,replications,pvalue,interpretation
excess_return,1,CRS,core_ridge,historical_mean,44,MSE,-0.0018082320709630778,-0.0026602260701095535,0.00037138588138085834,12,2000,0.02348825587206397,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,CRS,ridge_full,historical_mean,44,MSE,-0.00156852511566267,-0.005250990749897575,0.0016167986612305502,3,2000,0.38330834582708645,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,CRS,ridge_full,historical_mean,44,MSE,-0.00156852511566267,-0.004155458426472838,0.001487352601127658,6,2000,0.2958520739630185,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,CRS,ridge_full,historical_mean,44,MSE,-0.00156852511566267,-0.003757815879798663,0.001563063438665428,12,2000,0.2303848075962019,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,CRS,boost_full,historical_mean,44,MSE,-0.0009496300818996561,-0.002842258674639772,0.0012517169740610147,3,2000,0.3743128435782109,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,CRS,boost_full,historical_mean,44,MSE,-0.0009496300818996561,-0.0028620599273696122,0.0016239975818416272,6,2000,0.40729635182408797,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,CRS,boost_full,historical_mean,44,MSE,-0.0009496300818996561,-0.002682270131065046,0.0016221205159687975,12,2000,0.4222888555722139,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,ENTG,boost_full,ridge_full,44,MSE,-0.0004989091118596262,-0.0016578496085384092,0.0014956114742070512,3,2000,0.5242378810594702,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,ENTG,boost_full,ridge_full,44,MSE,-0.0004989091118596262,-0.0011545259234504294,0.0014738283481753355,6,2000,0.456271864067966,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,ENTG,boost_full,ridge_full,44,MSE,-0.0004989091118596262,-0.001045950412297434,0.0015851424812646387,12,2000,0.47226386806596704,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,ENTG,zero,historical_mean,44,MSE,0.00010198963668496732,-0.0007083145309051798,0.000981904145375428,3,2000,0.8105947026486756,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,ENTG,zero,historical_mean,44,MSE,0.00010198963668496732,-0.0006356021896556242,0.0009887996124825862,6,2000,0.8085957021489255,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,ENTG,zero,historical_mean,44,MSE,0.00010198963668496732,-0.0004724201020637534,0.0011459610796664631,12,2000,0.8065967016491754,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
